Review_ID,Text,Rating,Sentiment
REV1000,"kualitas super, sangat manis. Sangat merekomendasikan.",4,Positif
REV1001,"murah dan bagus, packing aman. Sangat merekomendasikan.",5,Positif
REV1002,"segar sekali, murah dan bagus. Sangat merekomendasikan.",4,Positif
REV1003,"kualitas super, cukup. Sangat merekomendasikan.",4,Positif
REV1004,"kualitas super, not bad. Sangat merekomendasikan.",5,Positif
REV1005,"seller ramah, kualitas super. Sangat merekomendasikan.",5,Positif
REV1006,"apel busuk, benar-benar rasa hambar. Tidak akan beli lagi.",2,Negatif
REV1007,"segar sekali, packing aman. Sangat merekomendasikan.",5,Positif
REV1008,"Barang not bad, pengiriman standar.",3,Netral
REV1009,"mantap, sangat manis. Sangat merekomendasikan.",5,Positif
REV1010,"Barang not bad, pengiriman standar.",3,Netral
REV1011,"kecewa, benar-benar jelek. Tidak akan beli lagi.",2,Negatif
REV1012,"seller ramah, packing aman. Sangat merekomendasikan.",5,Positif
REV1013,"packing aman, not bad. Sangat merekomendasikan.",4,Positif
REV1014,"ukuran kecil, benar-benar apel busuk. Tidak akan beli lagi.",2,Negatif
REV1015,"pengiriman cepat, biasa saja. Sangat merekomendasikan.",5,Positif
REV1016,"renyah, buahnya besar. Sangat merekomendasikan.",5,Positif
REV1017,"pengiriman cepat, seller ramah. Sangat merekomendasikan.",5,Positif
REV1018,"renyah, segar sekali. Sangat merekomendasikan.",4,Positif
REV1019,"Barang sesuai harga, pengiriman standar.",3,Netral
REV1020,"seller ramah, segar sekali. Sangat merekomendasikan.",4,Positif
REV1021,"banyak yang bonyok, benar-benar banyak yang bonyok. Tidak akan beli lagi.",1,Negatif
REV1022,"mantap, buahnya besar. Sangat merekomendasikan.",5,Positif
REV1023,"Barang lumayan, pengiriman standar.",3,Netral
REV1024,"Barang cukup, pengiriman standar.",3,Netral
REV1025,"Barang not bad, pengiriman standar.",3,Netral
REV1026,"kualitas super, standar. Sangat merekomendasikan.",4,Positif
REV1027,"kualitas super, cukup. Sangat merekomendasikan.",5,Positif
REV1028,"murah dan bagus, bisa dimakan. Sangat merekomendasikan.",4,Positif
REV1029,"banyak yang bonyok, benar-benar hancur. Tidak akan beli lagi.",2,Negatif
REV1030,"segar sekali, pengiriman cepat. Sangat merekomendasikan.",5,Positif
REV1031,"sangat manis, packing aman. Sangat merekomendasikan.",5,Positif
REV1032,"ukuran kecil, benar-benar rasa hambar. Tidak akan beli lagi.",2,Negatif
REV1033,"segar sekali, segar sekali. Sangat merekomendasikan.",5,Positif
REV1034,"seller ramah, buahnya besar. Sangat merekomendasikan.",5,Positif
REV1035,"packing aman, sesuai harga. Sangat merekomendasikan.",5,Positif
REV1036,"pengiriman lambat, benar-benar banyak yang bonyok. Tidak akan beli lagi.",2,Negatif
REV1037,"renyah, seller ramah. Sangat merekomendasikan.",5,Positif
REV1038,"murah dan bagus, pengiriman cepat. Sangat merekomendasikan.",5,Positif
REV1039,"mantap, renyah. Sangat merekomendasikan.",5,Positif
REV1040,"buahnya besar, packing aman. Sangat merekomendasikan.",4,Positif
REV1041,"Barang standar, pengiriman standar.",3,Netral
REV1042,"Barang cukup, pengiriman standar.",3,Netral
REV1043,"kurang segar, benar-benar ukuran kecil. Tidak akan beli lagi.",1,Negatif
REV1044,"Barang not bad, pengiriman standar.",3,Netral
REV1045,"segar sekali, lumayan. Sangat merekomendasikan.",5,Positif
REV1046,"apel busuk, benar-benar kecewa. Tidak akan beli lagi.",1,Negatif
REV1047,"sangat manis, lumayan. Sangat merekomendasikan.",4,Positif
REV1048,"seller ramah, buahnya besar. Sangat merekomendasikan.",4,Positif
REV1049,"Barang sesuai harga, pengiriman standar.",3,Netral
REV1050,"kecewa, benar-benar hancur. Tidak akan beli lagi.",2,Negatif
REV1051,"renyah, seller ramah. Sangat merekomendasikan.",4,Positif
REV1052,"Barang cukup, pengiriman standar.",3,Netral
REV1053,"kurang segar, benar-benar harga mahal. Tidak akan beli lagi.",1,Negatif
REV1054,"pengiriman lambat, benar-benar ukuran kecil. Tidak akan beli lagi.",1,Negatif
REV1055,"pengiriman cepat, packing aman. Sangat merekomendasikan.",4,Positif
